test_name,category,real_vulnerability,cwe
BenchmarkTest00012,ldapi,true,90
BenchmarkTest00027,sqli,true,89
BenchmarkTest00032,sqli,true,89
BenchmarkTest00037,sqli,true,89
BenchmarkTest00072,hash,false,328
BenchmarkTest00135,pathtraver,false,22
BenchmarkTest00138,ldapi,false,90
BenchmarkTest00152,xss,true,79
BenchmarkTest00190,sqli,false,89
BenchmarkTest00225,hash,false,328
BenchmarkTest00273,hash,true,328
BenchmarkTest00274,hash,true,328
BenchmarkTest00293,cmdi,true,78
BenchmarkTest00294,cmdi,true,78
BenchmarkTest00309,cmdi,false,78
BenchmarkTest00367,ldapi,false,90
BenchmarkTest00370,hash,false,328
BenchmarkTest00382,xss,true,79
BenchmarkTest00436,sqli,false,89
BenchmarkTest00452,pathtraver,true,22
BenchmarkTest00459,pathtraver,true,22
BenchmarkTest00478,xss,true,79
BenchmarkTest00530,ldapi,false,90
BenchmarkTest00569,cmdi,false,78
BenchmarkTest00570,cmdi,false,78
BenchmarkTest00589,sqli,false,89
BenchmarkTest00638,hash,true,328
BenchmarkTest00694,ldapi,true,90
BenchmarkTest00698,pathtraver,true,22
BenchmarkTest00701,ldapi,false,90
BenchmarkTest00708,hash,true,328
BenchmarkTest00725,xss,true,79
BenchmarkTest00774,sqli,false,89
BenchmarkTest00793,hash,false,328
BenchmarkTest00839,sqli,true,89
BenchmarkTest00861,ldapi,false,90
BenchmarkTest00874,hash,false,328
BenchmarkTest00934,sqli,false,89
BenchmarkTest00947,ldapi,true,90
BenchmarkTest00951,pathtraver,false,22
BenchmarkTest00963,hash,true,328
BenchmarkTest00969,cmdi,false,78
BenchmarkTest00983,cmdi,true,78
BenchmarkTest01003,sqli,true,89
BenchmarkTest01023,ldapi,true,90
BenchmarkTest01024,ldapi,false,90
BenchmarkTest01028,pathtraver,false,22
BenchmarkTest01032,pathtraver,true,22
BenchmarkTest01064,cmdi,true,78
BenchmarkTest01066,cmdi,true,78
BenchmarkTest01157,pathtraver,true,22
BenchmarkTest01182,cmdi,false,78
BenchmarkTest01239,pathtraver,false,22
BenchmarkTest01247,hash,true,328
BenchmarkTest01328,pathtraver,false,22
BenchmarkTest01418,xss,true,79
BenchmarkTest01441,cmdi,true,78
BenchmarkTest01490,ldapi,true,90
BenchmarkTest01515,xss,false,79
BenchmarkTest01553,sqli,false,89
BenchmarkTest01568,ldapi,true,90
BenchmarkTest01582,hash,false,328
BenchmarkTest01587,xss,true,79
BenchmarkTest01686,cmdi,false,78
BenchmarkTest01744,pathtraver,false,22
BenchmarkTest01762,hash,false,328
BenchmarkTest01795,cmdi,false,78
BenchmarkTest01833,pathtraver,true,22
BenchmarkTest01887,sqli,true,89
BenchmarkTest01890,sqli,true,89
BenchmarkTest01907,pathtraver,true,22
BenchmarkTest01919,xss,true,79
BenchmarkTest01940,cmdi,true,78
BenchmarkTest01971,sqli,true,89
BenchmarkTest01983,pathtraver,true,22
BenchmarkTest02028,pathtraver,false,22
BenchmarkTest02035,pathtraver,false,22
BenchmarkTest02048,xss,false,79
BenchmarkTest02104,ldapi,false,90
BenchmarkTest02127,xss,true,79
BenchmarkTest02185,sqli,false,89
BenchmarkTest02196,ldapi,true,90
BenchmarkTest02199,pathtraver,true,22
BenchmarkTest02217,hash,true,328
BenchmarkTest02305,ldapi,true,90
BenchmarkTest02328,xss,true,79
BenchmarkTest02331,xss,false,79
BenchmarkTest02429,cmdi,true,78
BenchmarkTest02509,xss,false,79
BenchmarkTest02511,cmdi,true,78
BenchmarkTest02553,ldapi,false,90
BenchmarkTest02576,hash,false,328
BenchmarkTest02596,xss,false,79
BenchmarkTest02599,xss,false,79
BenchmarkTest02647,sqli,true,89
BenchmarkTest02671,hash,true,328
BenchmarkTest02681,xss,false,79
BenchmarkTest02696,xss,false,79
BenchmarkTest02713,cmdi,false,78
BenchmarkTest02735,sqli,false,89
