test_name,category,real_vulnerability,cwe
BenchmarkTest00022,hash,false,328
BenchmarkTest00027,sqli,true,89
BenchmarkTest00072,hash,false,328
BenchmarkTest00135,pathtraver,false,22
BenchmarkTest00138,ldapi,false,90
BenchmarkTest00190,sqli,false,89
BenchmarkTest00220,pathtraver,false,22
BenchmarkTest00225,hash,false,328
BenchmarkTest00265,pathtraver,false,22
BenchmarkTest00294,cmdi,true,78
BenchmarkTest00309,cmdi,false,78
BenchmarkTest00310,cmdi,false,78
BenchmarkTest00367,ldapi,false,90
BenchmarkTest00370,hash,false,328
BenchmarkTest00396,cmdi,false,78
BenchmarkTest00436,sqli,false,89
BenchmarkTest00459,pathtraver,true,22
BenchmarkTest00468,xss,false,79
BenchmarkTest00478,xss,true,79
BenchmarkTest00530,ldapi,false,90
BenchmarkTest00569,cmdi,false,78
BenchmarkTest00570,cmdi,false,78
BenchmarkTest00589,sqli,false,89
BenchmarkTest00701,ldapi,false,90
BenchmarkTest00774,sqli,false,89
BenchmarkTest00792,hash,false,328
BenchmarkTest00793,hash,false,328
BenchmarkTest00812,xss,false,79
BenchmarkTest00861,ldapi,false,90
BenchmarkTest00873,hash,false,328
BenchmarkTest00874,hash,false,328
BenchmarkTest00889,xss,false,79
BenchmarkTest00896,cmdi,false,78
BenchmarkTest00910,cmdi,false,78
BenchmarkTest00934,sqli,false,89
BenchmarkTest00951,pathtraver,false,22
BenchmarkTest00967,hash,false,328
BenchmarkTest00969,cmdi,false,78
BenchmarkTest01012,sqli,false,89
BenchmarkTest01024,ldapi,false,90
BenchmarkTest01028,pathtraver,false,22
BenchmarkTest01030,pathtraver,false,22
BenchmarkTest01032,pathtraver,true,22
BenchmarkTest01037,hash,false,328
BenchmarkTest01092,sqli,false,89
BenchmarkTest01098,sqli,false,89
BenchmarkTest01158,pathtraver,false,22
BenchmarkTest01182,cmdi,false,78
BenchmarkTest01220,sqli,false,89
BenchmarkTest01239,pathtraver,false,22
BenchmarkTest01247,hash,true,328
BenchmarkTest01328,pathtraver,false,22
BenchmarkTest01336,xss,false,79
BenchmarkTest01420,xss,false,79
BenchmarkTest01444,cmdi,false,78
BenchmarkTest01515,xss,false,79
BenchmarkTest01553,sqli,false,89
BenchmarkTest01568,ldapi,true,90
BenchmarkTest01582,hash,false,328
BenchmarkTest01646,pathtraver,false,22
BenchmarkTest01655,hash,false,328
BenchmarkTest01686,cmdi,false,78
BenchmarkTest01743,ldapi,false,90
BenchmarkTest01744,pathtraver,false,22
BenchmarkTest01754,ldapi,false,90
BenchmarkTest01755,ldapi,false,90
BenchmarkTest01762,hash,false,328
BenchmarkTest01795,cmdi,false,78
BenchmarkTest01796,cmdi,false,78
BenchmarkTest01814,sqli,false,89
BenchmarkTest01887,sqli,true,89
BenchmarkTest01903,ldapi,false,90
BenchmarkTest01940,cmdi,true,78
BenchmarkTest02028,pathtraver,false,22
BenchmarkTest02035,pathtraver,false,22
BenchmarkTest02048,xss,false,79
BenchmarkTest02104,ldapi,false,90
BenchmarkTest02114,ldapi,false,90
BenchmarkTest02116,ldapi,false,90
BenchmarkTest02185,sqli,false,89
BenchmarkTest02328,xss,true,79
BenchmarkTest02331,xss,false,79
BenchmarkTest02384,ldapi,false,90
BenchmarkTest02456,sqli,false,89
BenchmarkTest02464,pathtraver,false,22
BenchmarkTest02471,pathtraver,false,22
BenchmarkTest02509,xss,false,79
BenchmarkTest02553,ldapi,false,90
BenchmarkTest02576,hash,false,328
BenchmarkTest02589,xss,false,79
BenchmarkTest02596,xss,false,79
BenchmarkTest02599,xss,false,79
BenchmarkTest02631,sqli,false,89
BenchmarkTest02678,hash,false,328
BenchmarkTest02681,xss,false,79
BenchmarkTest02694,xss,false,79
BenchmarkTest02696,xss,false,79
BenchmarkTest02697,cmdi,false,78
BenchmarkTest02713,cmdi,false,78
BenchmarkTest02735,sqli,false,89
